,Age,Gender,Plan,Payment Method,User Fav Genre,Watch Hour / month,Satisfaction Rate
46,57,Female,Basic,Card,Horror,189.03343484296624,2.474079263070697
47,35,Female,Premium,Upi,Documentary,203.00728122815175,2.315297599268865
48,42,Male,Premium,Card,Action,208.60417055518803,2.3987696064338184
49,33,Male,Basic,Card,Documentary,206.45742640890802,4.065445661448003
50,21,Female,Standard,Card,Thriller,186.987073804233,2.339571068689592
51,59,Male,Standard,E-Wallet,Comedy,194.66901678017888,1.8482912398999778
52,53,Female,Basic,Net Banking,Documentary,195.07515227969233,4.6059365769777525
53,29,Female,Basic,Card,Comedy,209.5908255088316,3.19156216660154
54,70,Male,Basic,Upi,Action,182.33831112759023,3.178468307877676
55,59,Female,Basic,Net Banking,Action,180.01460259548585,2.0303644979146056
56,69,Male,Standard,E-Wallet,Romance,185.63350930037254,4.795873447760938
57,31,Female,Premium,Upi,Action,200.3088495904847,2.507858449421201
58,69,Male,Premium,Net Banking,Romance,195.2337037709527,2.0002142426093896
59,66,Male,Premium,E-Wallet,Action,191.86433710318911,2.9629137536068972
60,46,Male,Basic,Card,Horror,208.12710043061952,1.8083743730085615
61,19,Female,Basic,Upi,Action,196.45263143434585,1.679083914306371
62,33,Male,Premium,Net Banking,Thriller,206.9659820151325,2.988978565840113
63,43,Male,Mobile,E-Wallet,Drama,181.75017952200133,1.6073285566228157
64,60,Male,Standard,Card,Action,202.71384965987346,4.200432647942598
65,51,Female,Premium,Upi,Documentary,181.1676060151101,3.3803505460769667
66,55,Male,Premium,E-Wallet,Romance,197.71610814751082,3.677910720936692
67,56,Male,Premium,Card,Documentary,190.31830664231092,1.5683025360898517
68,27,Female,Basic,Net Banking,Thriller,203.65357647942503,2.257790855930607
69,35,Male,Standard,Card,Drama,209.5475965542068,2.318327030933954
70,35,Female,Basic,Net Banking,Documentary,190.2435676327246,3.4012522441912414
71,56,Female,Standard,Card,Horror,185.29481444981292,2.372318840230823
72,21,Female,Basic,Upi,Drama,196.55031649133772,2.37224156388111
73,52,Male,Standard,Upi,Horror,187.88643586911658,2.1053229141353884
74,69,Male,Basic,Net Banking,Action,181.28820442844435,2.507157816379273
75,32,Male,Standard,Upi,Horror,185.07557786828448,4.951487863982948
76,50,Male,Basic,Net Banking,Documentary,205.36081439743694,2.3378902757464566
77,53,Female,Mobile,E-Wallet,Action,206.45318081452456,3.5461392803606695
78,64,Female,Basic,Net Banking,Action,182.40424912724464,1.379524164093613
79,66,Male,Basic,E-Wallet,Horror,193.31759824021103,2.2678000335103907
80,52,Female,Premium,E-Wallet,Romance,184.16671277177284,1.9852327131266527
81,41,Female,Premium,E-Wallet,Comedy,196.51096298204675,1.5463838317625518
82,41,Male,Premium,Card,Action,202.7594139023791,2.566975629767245
83,32,Male,Standard,Card,Romance,199.65041520007142,2.685165133317999
84,61,Male,Mobile,Upi,Thriller,200.7167262193554,2.54591528159306
85,70,Male,Basic,E-Wallet,Thriller,185.86130549174504,1.4595041585898816
86,67,Female,Premium,Card,Documentary,193.47662423142276,4.0346297356924286
87,67,Male,Premium,E-Wallet,Drama,183.50904643769113,3.978334727665727
88,35,Female,Premium,Upi,Documentary,204.24851100135726,4.529993982080784
89,44,Male,Mobile,Net Banking,Action,200.37544975193973,1.77397652840017
90,21,Female,Basic,E-Wallet,Drama,208.7025304468344,2.9023443170520093
91,34,Male,Premium,Card,Comedy,183.33067655464455,3.5573298780009623
92,40,Male,Premium,Card,Comedy,201.09613604762913,4.410954679783432
93,35,Female,Premium,Upi,Romance,204.2394497150965,3.3565264559562986
94,61,Male,Standard,Upi,Drama,180.32387568186923,3.1901383405866737
95,26,Male,Basic,Card,Romance,186.48516140598423,4.8076679254615335
96,63,Female,Standard,Card,Documentary,192.7220025633016,2.8783591088641467
97,43,Male,Mobile,Card,Comedy,198.8264653764371,2.1315491673752582
98,18,Female,Mobile,Card,Comedy,191.73506548173512,2.8625615058758385
99,57,Male,Mobile,E-Wallet,Documentary,182.7015226743856,1.2099073297545382
100,64,Female,Premium,Upi,Drama,191.25442756123414,4.773618171697815
101,43,Female,Mobile,Card,Thriller,192.54332749746263,4.367426151533589
102,55,Female,Standard,Upi,Romance,192.9644399756574,3.150984796484925
103,50,Male,Basic,E-Wallet,Romance,181.94429688335873,1.1909207829128046
104,19,Female,Standard,Net Banking,Action,205.33746316024488,2.2796514596590884
105,23,Female,Premium,Upi,Drama,184.09624965749484,1.9328523117422702
106,41,Female,Mobile,Card,Action,202.41453977939784,1.7053904123291495
107,67,Female,Basic,Net Banking,Documentary,185.01696510085435,1.1690986359509132
108,50,Female,Mobile,Net Banking,Documentary,198.2192438347048,2.4004020924722207
109,61,Female,Premium,E-Wallet,Drama,203.85743000369445,2.600229318940217
110,52,Male,Basic,Upi,Thriller,209.8531342928489,4.517019965662138
111,66,Male,Standard,Card,Drama,205.7421987981048,4.147595790617979
112,52,Male,Mobile,Card,Drama,203.56282863108115,2.7543891482574234
113,61,Male,Mobile,Card,Thriller,197.43006858559338,2.7579148310927772
114,55,Male,Basic,E-Wallet,Documentary,182.66230792283804,4.222637747947868
115,25,Female,Basic,Card,Thriller,199.84076112990144,1.8541582553958866
116,26,Male,Basic,Card,Comedy,188.1158261638756,4.238171518216
117,54,Male,Mobile,Net Banking,Documentary,196.92246546695785,2.2683671495248974
118,60,Male,Mobile,Upi,Drama,205.72814991365902,4.186346830948184
119,32,Female,Mobile,E-Wallet,Thriller,208.49392939923797,4.439431903904886
120,26,Male,Basic,Net Banking,Comedy,191.12980731172712,4.776065360312376
121,59,Male,Premium,Card,Comedy,185.84869976111946,1.2756817506764055
122,54,Female,Standard,E-Wallet,Documentary,205.91460127205445,3.8213224174823877
123,50,Female,Mobile,Upi,Comedy,188.3706484337523,3.6800062586309497
124,51,Female,Basic,Net Banking,Action,202.5575215879638,1.967448876522468
125,34,Male,Mobile,Net Banking,Romance,204.33718294777185,3.998376246373577
126,67,Female,Premium,Card,Action,196.6319214661759,1.0626787112849012
127,18,Female,Basic,Net Banking,Action,189.96273807663314,2.078596558964594
128,58,Male,Standard,Upi,Action,188.3690676495179,3.9514292457142317
129,53,Male,Basic,Net Banking,Action,206.36654815364938,3.9591048872691825
130,38,Female,Basic,Upi,Romance,196.66856687027123,3.919185579040098
131,49,Female,Standard,E-Wallet,Action,180.80075110627658,1.5041678641518703
132,36,Female,Basic,Card,Comedy,191.98774072177284,2.848060617073738
133,25,Male,Mobile,Upi,Action,196.1223720274994,4.940207749870126
134,23,Female,Premium,Card,Drama,208.6703153677266,4.299288755144718
135,20,Male,Premium,Net Banking,Horror,193.54195506070945,1.783576618352615
136,45,Female,Basic,Upi,Horror,197.23949478062974,1.35495829057934
137,51,Female,Standard,Card,Romance,204.17911471812167,1.0951915004300745
138,57,Female,Mobile,E-Wallet,Romance,190.60259002638222,4.7664222393441715
139,39,Male,Basic,Card,Action,207.81996771424926,3.617620905397241
140,70,Female,Premium,E-Wallet,Thriller,198.99688004333018,3.9444386466476526
141,20,Female,Premium,Net Banking,Comedy,185.04792583207768,2.188072758771835
142,40,Female,Standard,Card,Action,196.06387230939194,2.123868007830158
143,19,Female,Premium,Upi,Romance,190.73089800577048,2.543908001200454
144,65,Male,Mobile,E-Wallet,Thriller,184.67035361903612,1.9161144195915716
145,45,Male,Premium,Upi,Horror,207.82695964468766,3.8390660480576404
146,70,Male,Basic,Net Banking,Action,184.41220287140882,2.408268308254765
147,28,Male,Premium,E-Wallet,Action,180.68801601656781,1.845579888970073
148,44,Female,Standard,Upi,Drama,197.13732433035628,3.776498593256683
149,67,Male,Basic,Card,Romance,208.48926071781597,2.710452538113174
150,21,Female,Standard,Net Banking,Documentary,205.9603338242285,1.4935149621802086
151,53,Female,Premium,Upi,Thriller,199.1090101672092,1.634954130434786
152,51,Female,Standard,E-Wallet,Horror,198.03147606931694,3.6583535386356734
153,53,Male,Basic,Upi,Comedy,180.07794698659984,4.923707128610165
154,60,Female,Basic,Net Banking,Horror,200.01793642199274,4.593152123172661
155,64,Female,Mobile,Card,Comedy,191.622049280113,4.10202349578893
156,35,Male,Mobile,E-Wallet,Action,196.90006067196177,1.4344136171610824
157,54,Female,Premium,Net Banking,Romance,198.77096417437193,1.7146919418994027
158,68,Male,Mobile,Upi,Drama,190.6519482346526,2.6956479949422176
159,58,Female,Premium,Net Banking,Horror,204.59901197511905,2.722637426823016
160,48,Male,Mobile,Net Banking,Action,181.7504735015732,2.439768290210973
161,57,Female,Mobile,Card,Action,180.44371337722924,1.2491474802153282
162,28,Male,Basic,Card,Documentary,209.66809422754798,4.604421587036212
163,55,Male,Basic,Card,Romance,198.20869511992802,1.5085901618368416
164,52,Female,Mobile,E-Wallet,Horror,202.42092472284955,2.9335706854732266
165,48,Male,Premium,Card,Horror,196.4765310382147,1.4468859377735068
166,56,Male,Premium,Net Banking,Comedy,191.4021811863792,2.2294055434798867
167,34,Female,Basic,Upi,Action,202.96604075778535,1.9463916671710741
168,46,Female,Basic,E-Wallet,Thriller,198.37855551054818,3.7783828113521123
169,35,Male,Premium,Net Banking,Drama,206.35404357210086,3.9263765136958337
170,59,Female,Mobile,E-Wallet,Romance,191.81346481828209,2.6758037010533666
171,51,Female,Premium,Upi,Comedy,207.0481814232691,1.1595891313725657
172,30,Female,Standard,Card,Horror,188.35999013364852,4.0523815480276335
173,49,Female,Basic,Net Banking,Comedy,207.47911641634605,4.572360758689337
174,40,Male,Premium,Net Banking,Comedy,196.54393246643576,3.126443033371834
175,39,Male,Premium,Net Banking,Drama,194.39953378064607,2.2970334228129556
176,55,Male,Standard,Net Banking,Drama,191.7140529612075,1.0498103660957048
177,64,Male,Basic,E-Wallet,Thriller,204.14900867970042,1.2550073031277003
178,59,Female,Basic,Upi,Drama,186.02284337636857,1.0386514363756616
179,61,Male,Mobile,E-Wallet,Documentary,208.52035498959373,1.2748099506878314
180,69,Female,Standard,Upi,Drama,205.86976050024262,4.264424444268001
181,36,Male,Mobile,E-Wallet,Thriller,207.5712514623041,2.7128551341470373
182,64,Female,Mobile,E-Wallet,Romance,180.29907429256582,3.5731244671388174
183,62,Male,Basic,Upi,Horror,183.44696001090952,4.3289497862520925
184,19,Male,Standard,E-Wallet,Documentary,190.11325335553252,4.699841988485122
185,53,Male,Mobile,Card,Romance,186.64352174043512,3.3564987940226105
186,48,Female,Premium,E-Wallet,Horror,186.88410527601945,3.9409644084532065
187,68,Female,Premium,E-Wallet,Action,202.83019612681542,2.6794400758333006
188,31,Male,Mobile,Card,Comedy,201.42746816239463,4.826952600710604
189,58,Male,Standard,E-Wallet,Horror,202.32631378089246,1.6382974738205887
190,66,Female,Basic,Upi,Thriller,206.08481134908806,3.748288139788747
191,62,Male,Mobile,E-Wallet,Action,209.5365900376096,3.4525880843792387
192,20,Male,Premium,Card,Comedy,203.43522187408476,3.7060484404301914
193,70,Female,Premium,Upi,Drama,209.03917040963378,4.109962251301058
194,50,Male,Standard,E-Wallet,Comedy,196.4334823634295,4.203010948173901
195,52,Female,Mobile,Card,Drama,185.23500202416074,3.8058892946297704
196,65,Male,Basic,Card,Action,198.919715875916,2.7562553541036583
197,44,Male,Standard,Net Banking,Horror,206.83261676892906,1.223283152157728
198,61,Female,Standard,Upi,Comedy,201.72425851272666,2.1989275838870976
199,63,Male,Standard,Upi,Drama,185.429096751979,3.6344016642937964
200,23,Female,Basic,Upi,Drama,194.57413745379938,3.3883616807434738
201,46,Male,Premium,E-Wallet,Documentary,202.81330689527033,4.856936419644146
202,54,Male,Premium,Card,Romance,188.56257502833202,4.94707851969307
203,53,Female,Standard,E-Wallet,Drama,186.79792956859148,4.18230113251491
204,45,Male,Mobile,E-Wallet,Thriller,196.58863941840178,2.3113933725219447
205,46,Female,Mobile,E-Wallet,Horror,199.68095386364013,3.536348923135701
206,20,Female,Basic,Net Banking,Thriller,189.78708082565612,3.630128664602447
207,61,Female,Basic,Card,Thriller,193.09498362973187,2.1856651066087243
208,51,Male,Premium,Upi,Action,185.74183879560385,4.225312073148272
209,18,Male,Basic,Upi,Action,185.82113761638323,3.949323527653672
210,27,Male,Mobile,E-Wallet,Documentary,185.81849307987014,2.2566691656616737
211,29,Male,Premium,E-Wallet,Romance,199.96641036364258,2.497644543354085
212,19,Male,Premium,Card,Action,193.65588996339875,1.5033521262232168
213,68,Female,Basic,Net Banking,Comedy,205.63947142424755,2.57274352227302
214,45,Male,Mobile,Upi,Documentary,193.26007829780067,1.1311463046524861
215,55,Female,Mobile,Net Banking,Comedy,209.1717934824843,2.0320662851767892
216,43,Male,Basic,Upi,Documentary,195.9696140831945,2.7134213576596724
217,61,Male,Premium,Card,Documentary,195.6319927597532,4.274514881446397
218,58,Female,Premium,Upi,Documentary,209.26856722315418,3.959555707037635
219,35,Female,Premium,Upi,Thriller,194.44006220347435,2.456920149264235
220,58,Male,Standard,Upi,Comedy,202.00201564120172,2.4626795177832577
221,28,Male,Standard,Net Banking,Comedy,186.95781350186883,2.9136690962427307
222,55,Male,Basic,Upi,Horror,188.67967302831096,2.0817601434298973
223,41,Male,Premium,Card,Romance,196.21315273537317,1.9443526400251563
224,45,Female,Basic,Net Banking,Horror,203.39591075467712,2.3169627980585563
225,58,Male,Mobile,Card,Comedy,209.82355256092612,2.567579244440791
226,37,Male,Premium,Card,Documentary,200.1169974677614,4.925504495934208
227,36,Male,Mobile,Net Banking,Comedy,181.34544224036006,3.7209372665546554
228,49,Female,Premium,Net Banking,Action,201.17495987470818,4.741451667450601
229,44,Male,Premium,Card,Drama,196.8000084541556,1.510578732250389
230,55,Female,Standard,Card,Romance,189.16625502570636,4.244699349188934
231,41,Male,Standard,Net Banking,Horror,192.68058616053074,4.41755204448255
232,44,Male,Basic,Card,Horror,203.4294713910229,3.353443567943004
233,46,Female,Mobile,Card,Thriller,192.95261699083343,1.3843431554135917
234,65,Female,Basic,Upi,Drama,186.66861620334282,2.779206456431715
235,48,Female,Premium,Net Banking,Romance,195.15058953555496,1.1382080422696874
236,43,Male,Mobile,Net Banking,Drama,181.31399494575584,4.561200881571299
237,19,Female,Mobile,E-Wallet,Drama,199.8661449374683,1.6307589900001713
238,23,Male,Standard,Card,Drama,181.1935121612318,2.070185154156725
239,24,Female,Basic,Upi,Comedy,209.19148094160022,2.634670082011635
240,57,Female,Mobile,Card,Action,188.27728749015094,1.5145407288483486
241,19,Female,Mobile,Upi,Drama,198.95018962969976,1.3080231724375042
242,67,Male,Premium,Card,Thriller,199.8135754046543,1.2685392227962753
243,53,Male,Mobile,Card,Documentary,195.61317603507572,4.001367627981912
244,39,Female,Standard,Net Banking,Action,194.452914084058,1.795925412481434
245,56,Female,Premium,E-Wallet,Thriller,193.90936325238664,3.7776502361186393
246,67,Female,Basic,Upi,Drama,184.95775135419663,1.8876760585254981
247,49,Male,Mobile,E-Wallet,Romance,188.81391540356347,2.832750795074118
248,54,Female,Standard,Net Banking,Romance,187.4567999557532,1.613207316914115
249,54,Male,Premium,E-Wallet,Drama,196.38465489041064,2.1390400875255122
250,66,Male,Premium,Card,Drama,185.0467251433191,3.0000875752804967
251,27,Male,Mobile,Net Banking,Drama,206.55228635835056,1.0079080426978733
252,34,Male,Premium,Upi,Horror,185.33809368096863,2.5953221557049777
253,54,Female,Premium,Upi,Action,181.54529989758555,3.0593735881964776
254,38,Male,Basic,Card,Comedy,197.41542298273222,3.3896557748343965
255,60,Female,Basic,Net Banking,Thriller,204.5826057200305,1.4928620727583963
256,62,Female,Standard,Card,Action,188.10288791021367,2.8504405269433417
257,49,Female,Standard,E-Wallet,Thriller,189.44880536670613,3.773058525029774
258,41,Male,Premium,Card,Drama,183.42883340246183,2.6259020189516606
259,23,Male,Standard,Upi,Drama,195.15025620016021,3.862025302327664
260,57,Female,Standard,Card,Thriller,201.17365883316683,1.0800282470019145
261,33,Female,Basic,Upi,Action,198.55360596739567,4.7137162234009296
262,47,Female,Mobile,Card,Comedy,193.51898042240487,1.6450230863467414
263,39,Female,Premium,Net Banking,Comedy,204.805411342892,1.2103260398420863
264,24,Female,Standard,Net Banking,Drama,203.02490051433128,4.581831367968206
265,62,Female,Standard,Card,Documentary,201.93734084627488,1.0130928669255082
266,36,Female,Premium,Upi,Action,204.7578300806989,2.999410199732679
267,58,Female,Mobile,Upi,Documentary,199.27732067770756,3.836709449897049
268,34,Male,Basic,Card,Thriller,184.6458080397554,2.389112955041
269,39,Female,Mobile,Net Banking,Drama,185.47397367404284,4.113747604673325
270,20,Female,Premium,Net Banking,Action,186.68868289285138,4.828844342255765
271,22,Female,Standard,E-Wallet,Romance,198.8280304578633,4.648143421585743
272,31,Female,Premium,Upi,Horror,196.22111541238834,1.0100967118752333
273,70,Male,Premium,E-Wallet,Romance,207.21683311388844,4.136969783785546
274,40,Female,Mobile,Card,Comedy,182.08408836623371,1.954598148529883
275,27,Female,Premium,Upi,Comedy,187.60715777539784,2.4621257444408378
276,44,Male,Basic,Upi,Thriller,207.4168965540298,4.6820659018876425
277,33,Male,Premium,E-Wallet,Action,194.90070318272683,4.629659363608249
278,67,Female,Premium,Upi,Comedy,182.4502020147624,2.4625289464353184
279,43,Male,Premium,Upi,Romance,205.5355746093645,2.297206004053354
280,46,Male,Premium,Card,Drama,181.4392276090503,1.0669850281569135
281,64,Male,Mobile,Net Banking,Drama,191.54903987105132,3.963960463169792
282,49,Male,Basic,Net Banking,Drama,194.06287669014912,4.93550997724034
283,52,Female,Premium,Card,Documentary,189.3956787643771,3.7135705602484093
284,18,Male,Standard,E-Wallet,Thriller,197.3601270001356,4.956701930368951
285,38,Male,Mobile,Card,Action,199.69227396315708,4.446752712484991
286,52,Male,Standard,Upi,Comedy,180.59860155233463,2.753318030378029
287,21,Male,Basic,E-Wallet,Drama,193.06035527093613,3.549623646480703
288,39,Male,Premium,Upi,Thriller,203.84436200836757,4.767392890544542
289,50,Female,Basic,Upi,Horror,180.7786034120001,2.860419423566274
290,33,Male,Mobile,Card,Horror,202.06107456701366,4.33050745473536
291,55,Male,Basic,Card,Horror,208.53579253935413,4.520393240904365
292,65,Female,Standard,Card,Drama,205.82605563870513,2.334986069153796
293,36,Female,Premium,E-Wallet,Comedy,191.98388526346608,4.669482330910886
294,23,Female,Mobile,E-Wallet,Horror,207.90356325830103,3.6697224240671855
295,21,Female,Mobile,Net Banking,Horror,180.2418708572526,3.261232240641741
296,63,Male,Standard,E-Wallet,Horror,183.89840853734898,4.045677222636909
297,55,Female,Premium,Upi,Romance,197.4482759698702,4.553868196227372
298,49,Female,Premium,E-Wallet,Horror,196.79864242913703,4.080842695189766
299,23,Female,Mobile,Upi,Action,202.48816262275164,3.1865501152975995
300,69,Female,Standard,Net Banking,Comedy,193.0153296680138,2.5073575619779938
301,52,Female,Mobile,E-Wallet,Comedy,206.4907566475953,4.654804413938285
302,64,Male,Premium,Card,Comedy,190.57970164975336,3.6149877570646063
303,43,Female,Standard,Net Banking,Drama,181.49844051704662,2.814004225069894
304,66,Female,Mobile,Net Banking,Comedy,186.70610914227595,4.82842348933792
305,27,Male,Basic,Net Banking,Horror,208.76792062417084,4.470495980616523
306,59,Female,Basic,Card,Romance,185.67642811123866,4.068760202469065
307,39,Male,Premium,E-Wallet,Thriller,196.24370879169268,3.8244850441686316
308,19,Male,Basic,Net Banking,Comedy,182.28979480894228,4.558977802955468
309,22,Female,Basic,E-Wallet,Comedy,182.87162926919987,4.3737035671553235
310,18,Male,Premium,Card,Documentary,186.1346913001305,2.5977300239771117
311,53,Male,Standard,E-Wallet,Romance,183.5401177587995,4.534640103504964
312,66,Female,Premium,E-Wallet,Drama,194.4374250109237,4.8965632143429705
313,61,Female,Standard,Card,Drama,205.3342227864151,3.9713994841699902
314,62,Male,Mobile,Card,Thriller,196.74088322853171,1.0988359648755055
315,28,Female,Premium,Card,Action,187.124940124015,1.8245771975318554
316,33,Female,Mobile,E-Wallet,Documentary,187.33498103330948,3.7823460912845204
317,20,Male,Mobile,E-Wallet,Thriller,186.4460071813024,2.9013487993543
318,63,Female,Basic,E-Wallet,Romance,186.5436494843469,4.725865292997805
319,23,Male,Premium,Net Banking,Documentary,205.95323146112898,4.776845562022988
320,20,Male,Mobile,E-Wallet,Action,183.36625572012113,2.36695016538179
321,60,Male,Mobile,Net Banking,Horror,201.4104486633883,2.1559590059058737
322,22,Male,Premium,Card,Action,181.31162483040683,3.7993610696735898
323,58,Female,Mobile,Net Banking,Documentary,195.0442942587322,1.929249239225661
324,46,Female,Basic,Upi,Comedy,196.49201969283527,1.8323152962876779
325,38,Male,Mobile,Card,Horror,191.02748656653824,1.0580918849495595
326,46,Male,Premium,E-Wallet,Horror,180.26455234053162,3.176511291510032
327,62,Female,Premium,E-Wallet,Horror,184.23007410835882,1.7060340815666875
328,66,Male,Basic,Net Banking,Action,194.14410447341007,4.754093101650492
329,59,Male,Standard,Card,Action,192.77897868432558,4.7704208899665925
330,21,Female,Standard,Upi,Thriller,198.64478028458547,4.422108693899652
331,20,Female,Mobile,Card,Drama,202.45097442850525,1.4747210976559764
332,27,Female,Mobile,Net Banking,Documentary,191.14203512921284,1.6147780364393514
333,61,Female,Premium,Upi,Romance,185.8255628772507,4.985608399853593
334,55,Male,Premium,Card,Comedy,204.1581280154754,4.839678201760098
335,44,Female,Mobile,E-Wallet,Thriller,188.7525894858136,2.2335278630656825
336,33,Male,Premium,Card,Action,206.17887926174345,1.1052543428674162
337,49,Female,Basic,Net Banking,Drama,195.81039752311634,1.584344835576192
338,63,Male,Standard,Upi,Thriller,182.35276654573954,1.9540383531367937
339,40,Male,Mobile,Card,Romance,194.96261444563572,2.427763544956951
340,29,Male,Standard,Upi,Romance,196.4778532184218,1.9113515610506329
341,32,Male,Basic,Net Banking,Horror,189.01875410612064,3.1678385286662962
342,66,Female,Mobile,Net Banking,Documentary,204.79439196006308,3.629726242013607
343,64,Female,Premium,Upi,Action,206.8763045466291,4.587786850665777
344,43,Female,Basic,Card,Comedy,203.20524021895136,2.6751030364877453
345,56,Female,Mobile,Net Banking,Horror,192.90670489538164,2.461296077983154
346,68,Male,Basic,Card,Horror,195.39997281874196,1.0534846560660824
347,70,Male,Standard,Card,Action,204.4096690442754,3.194368228730143
348,37,Male,Mobile,E-Wallet,Horror,203.48496854178782,3.3942296843838555
349,47,Male,Premium,Upi,Documentary,192.99591987884534,4.744908287801952
350,59,Male,Basic,E-Wallet,Romance,204.24469291089247,2.19243196317839
351,57,Female,Basic,E-Wallet,Romance,188.0811372929851,4.882395263369556
352,19,Female,Basic,E-Wallet,Horror,184.4661766494104,1.9629200102336344
353,46,Female,Basic,Net Banking,Drama,191.75681066501738,2.9493606035197586
354,41,Male,Premium,Upi,Horror,193.72433539727086,3.350571759226478
355,28,Male,Standard,Card,Romance,185.66013428538804,2.0571771057827064
356,19,Female,Mobile,Card,Action,194.1431685612324,2.7270911216912035
357,69,Female,Premium,E-Wallet,Action,181.65053251677634,2.42172960926775
358,26,Male,Basic,Upi,Horror,209.422392747787,4.925214360180124
359,55,Male,Mobile,Card,Romance,206.51769371233706,4.030287343683634
360,45,Female,Premium,E-Wallet,Comedy,186.68095083080954,2.8791421418007848
361,66,Male,Mobile,Net Banking,Drama,184.1518900162124,2.6651670731205326
362,45,Female,Premium,Net Banking,Thriller,200.42075801961178,4.0949346055495255
363,24,Female,Basic,E-Wallet,Drama,209.87660182587436,4.951276498611499
364,63,Female,Basic,Net Banking,Thriller,206.0985354113673,2.682493790594976
365,18,Male,Premium,Card,Action,204.66214665087188,3.2140015683949503
366,61,Male,Basic,E-Wallet,Documentary,194.72090344042567,4.647791150609045
367,57,Female,Basic,Upi,Comedy,192.65143445457952,2.509709821783671
368,59,Female,Standard,Net Banking,Comedy,204.4632602403066,3.673635465180888
369,31,Male,Mobile,E-Wallet,Documentary,207.68344418865078,3.81224460063809
370,48,Female,Premium,Upi,Comedy,205.15649668015857,3.6524307838317154
371,50,Female,Mobile,Upi,Romance,194.76978505715758,2.589766466711217
372,64,Female,Standard,Upi,Horror,180.6395618776006,2.0528578495916836
373,24,Female,Basic,Net Banking,Drama,186.8739870509666,3.436732863392558
374,54,Female,Mobile,Card,Thriller,205.07369298710762,2.3777789794857713
375,60,Female,Premium,Card,Action,209.43913761160658,1.607585340541433
376,40,Male,Standard,Upi,Action,186.23197231238493,3.9488438842071205
