,Month,Rating,Type,Device Type,Country,Subscribers,Total Revenue
34,Aug,5,Series,Mobile,Germany,70588209,223211327.36062422
35,Jun,2,Series,Tablet,UK,71603929,233019874.5588371
36,Aug,2,Movie,Mobile,India,72230731,237269100.8972372
37,Jun,4,Movie,Mobile,South Korea,70294990,228882918.49451435
38,Apr,2,Tv Show,Mobile,South Korea,73244514,231609151.40072545
39,Nov,1,Movie,Smart Tv,Canada,74749890,221390071.8319234
40,Mar,1,Movie,Tablet,France,71509086,222016219.7661767
41,Jul,4,Movie,Mobile,Germany,74457498,224688588.414672
42,Feb,3,Movie,Mobile,Germany,70290992,239855071.42121112
43,Jan,1,Movie,Tablet,Germany,75154024,222037402.75136122
44,May,5,Tv Show,Smart Tv,Canada,73296435,223556001.3470154
45,Nov,4,Series,Tablet,France,79523766,229954760.5758356
46,Dec,3,Series,Mobile,USA,78800999,226569333.14436442
47,Jan,1,Tv Show,Smart Tv,Brazil,75085727,232350710.10584393
48,May,4,Series,Tablet,South Korea,71329256,230164599.6646681
49,Feb,5,Tv Show,Smart Tv,UK,73252588,225847771.24400163
50,Jan,3,Movie,Mobile,UK,71435305,227876230.5038346
51,Jan,2,Tv Show,Mobile,Australia,75442691,225705361.20592672
52,Dec,1,Tv Show,Tablet,UK,75520055,232650698.7482417
53,Aug,2,Series,Mobile,Australia,77350351,229482618.88194165
54,Jan,2,Movie,Smart Tv,UK,78016702,231997850.18099874
55,Oct,5,Movie,Mobile,USA,71082482,224627893.6840629
56,Oct,2,Movie,Mobile,Brazil,78861853,229375165.72029018
57,Apr,5,Tv Show,Tablet,Brazil,70381257,239130082.52241907
58,Mar,1,Movie,Smart Tv,USA,78653016,227701357.27522257
59,Dec,2,Tv Show,Mobile,South Korea,71074190,236159701.19062266
60,Mar,5,Tv Show,Tablet,USA,78168294,222853711.03150186
61,Nov,1,Tv Show,Tablet,Japan,73707635,238868656.34686804
62,May,3,Tv Show,Smart Tv,France,78079289,236231751.2173933
63,Apr,5,Series,Smart Tv,Canada,70784984,225741926.46113965
64,Jun,1,Tv Show,Mobile,Canada,70622669,228446393.5350841
65,Aug,4,Series,Tablet,USA,77356231,231601237.07264555
66,Sep,2,Tv Show,Tablet,South Korea,78303416,233253693.5778666
67,Jan,5,Tv Show,Tablet,Canada,74918546,227563882.33320078
68,Mar,3,Tv Show,Mobile,Brazil,74420999,236417168.39571193
69,Jun,3,Movie,Mobile,Brazil,71114980,233825842.31230655
70,Mar,5,Movie,Smart Tv,Brazil,75078035,229097253.77090073
71,Sep,5,Tv Show,Mobile,Canada,78912341,230112626.2373359
72,Feb,3,Series,Smart Tv,Japan,77494946,222883412.0443755
73,May,3,Series,Smart Tv,Canada,74757614,220352502.61867976
74,Feb,1,Tv Show,Smart Tv,India,70971720,236577182.28634316
75,Jan,1,Series,Mobile,India,73569369,226484454.31067917
76,Oct,3,Tv Show,Mobile,Germany,77415905,232221623.94851446
77,Aug,5,Movie,Smart Tv,Brazil,70133632,237761125.86179078
78,Nov,3,Series,Smart Tv,France,72037126,231309581.06211036
79,Sep,2,Series,Tablet,France,73773535,230745146.20880488
80,Oct,4,Series,Mobile,South Korea,73773808,225457086.05624598
81,Apr,3,Movie,Mobile,UK,78631754,230893473.6005081
82,Apr,4,Series,Tablet,Japan,75448261,227162010.39347002
83,Jan,1,Movie,Tablet,USA,76182178,239132727.83324373
84,Jul,3,Series,Smart Tv,Germany,75828208,226957738.2005908
85,Jan,1,Series,Smart Tv,Germany,77891012,235713786.94274536
86,May,2,Series,Mobile,Brazil,71477423,237697109.6557297
87,Jun,5,Series,Tablet,India,78649459,234522629.63335624
88,Jul,2,Tv Show,Tablet,Germany,71222090,234761067.7330773
89,Sep,2,Tv Show,Tablet,UK,76889781,236011802.62884554
90,Sep,2,Series,Mobile,France,72089491,237995568.44594768
91,Nov,4,Tv Show,Smart Tv,USA,74633412,224496626.20027086
92,Nov,3,Movie,Smart Tv,Germany,79686455,233083311.99248838
93,Jul,1,Movie,Mobile,Brazil,72168106,220457196.8401925
94,Nov,2,Movie,Tablet,UK,71052952,221130132.16651616
95,Oct,4,Series,Tablet,France,70349218,223408435.87491944
96,Jun,1,Series,Smart Tv,South Korea,79141328,230907688.30287638
97,Apr,3,Tv Show,Smart Tv,Canada,70558730,227553916.25108385
98,Feb,3,Tv Show,Mobile,South Korea,72253332,231168770.79126126
99,Oct,2,Movie,Mobile,USA,79273175,234518570.1045101
100,Jun,2,Series,Mobile,France,77899341,231159210.5774897
101,Apr,1,Series,Tablet,UK,79579704,229195181.45003456
102,Jul,2,Tv Show,Mobile,UK,79245605,231228512.5593255
103,Jan,2,Movie,Smart Tv,Germany,71586491,239041354.32429338
104,Oct,5,Movie,Tablet,USA,78160757,231217769.42568958
105,Oct,1,Tv Show,Smart Tv,Germany,76105409,237452059.5463379
106,Feb,5,Tv Show,Mobile,Brazil,71950495,222697231.3528929
107,Jul,4,Series,Mobile,UK,70962062,230140555.47311792
108,Oct,1,Series,Mobile,South Korea,70752001,222396802.31671754
109,Apr,4,Movie,Smart Tv,Brazil,73406333,220169388.0237997
110,Nov,1,Movie,Tablet,Australia,70264750,226413703.1656401
111,Feb,2,Tv Show,Tablet,Australia,72225228,230220766.69587746
112,Jan,1,Series,Smart Tv,India,72704565,230938373.63419384
113,Nov,4,Tv Show,Mobile,USA,71426703,222925534.48673314
114,Dec,1,Tv Show,Mobile,India,71385098,230380275.23642534
115,Jan,2,Series,Mobile,Japan,77356768,236293594.7931293
116,Dec,5,Series,Tablet,UK,72224625,238755381.50745758
117,Apr,5,Movie,Smart Tv,Germany,76353140,237524427.45391256
118,Mar,4,Tv Show,Smart Tv,USA,78790214,233861064.0604773
119,Aug,1,Movie,Tablet,India,78732321,220886194.37361926
120,Sep,1,Series,Mobile,Germany,71749508,238140019.5781414
121,Feb,4,Movie,Tablet,USA,71785581,230716765.1218001
122,Jul,5,Series,Smart Tv,Japan,78533388,227408478.57571247
123,Mar,5,Tv Show,Tablet,India,77515968,223005458.58724183
124,May,5,Movie,Mobile,USA,71858243,233770776.30404505
125,May,3,Series,Mobile,South Korea,72516718,225731011.15372288
126,Oct,1,Tv Show,Smart Tv,France,71253437,225627313.982783
127,Apr,4,Series,Smart Tv,Japan,78418727,225907584.26291627
128,May,5,Series,Tablet,France,73158482,234952672.0715565
129,Feb,4,Movie,Tablet,India,76495586,236349039.95038807
130,Oct,1,Tv Show,Mobile,UK,71358041,223958695.37930167
131,Nov,5,Tv Show,Tablet,UK,77882148,220223054.7796438
132,Jun,4,Movie,Tablet,Brazil,71775751,238889764.43067768
133,Jan,5,Series,Tablet,Canada,74359422,223287791.07037723
134,Dec,3,Series,Mobile,UK,74505617,233330049.96286398
135,Apr,5,Movie,Tablet,Germany,70021117,234005980.08897224
136,Jun,5,Tv Show,Smart Tv,Brazil,72501507,232940287.35826573
137,Jan,3,Movie,Smart Tv,France,72128115,234236595.94097123
138,Sep,5,Tv Show,Tablet,India,76165505,229048207.3150822
139,Jan,5,Movie,Smart Tv,Australia,78136765,230087702.77105892
140,Aug,5,Tv Show,Tablet,Australia,70815843,236983250.2662944
141,Feb,5,Tv Show,Smart Tv,Canada,71116971,227245294.33746248
142,Apr,2,Tv Show,Tablet,UK,71258689,225860351.9548156
143,Jun,3,Movie,Mobile,Germany,74177003,231061550.95051977
144,Jul,1,Tv Show,Smart Tv,Germany,79538730,230842943.2138673
145,Feb,5,Movie,Tablet,Germany,79687060,228442539.1368955
146,Apr,3,Tv Show,Mobile,UK,77392273,236442599.13409936
147,Oct,5,Tv Show,Smart Tv,France,70789274,228983758.65662467
148,Apr,1,Movie,Smart Tv,India,79435791,230582531.2187617
149,Jul,4,Series,Smart Tv,USA,78772003,233601640.3794226
150,Oct,1,Movie,Smart Tv,Australia,79307395,223035983.76499388
151,Sep,2,Movie,Mobile,Germany,76647937,230599666.31803274
152,Dec,3,Tv Show,Smart Tv,Australia,77772885,226323514.25551236
153,Jun,2,Movie,Smart Tv,Japan,75404919,230677810.12555844
154,Jul,2,Movie,Tablet,Australia,76705454,220894902.09378448
155,Jun,4,Movie,Smart Tv,France,79919300,234098383.7738427
156,Mar,1,Tv Show,Tablet,USA,78040328,226547180.14549163
157,Aug,4,Tv Show,Mobile,Japan,78251977,227817143.42465088
158,Mar,5,Series,Tablet,India,79154376,228614255.12278345
159,Jul,5,Series,Tablet,USA,77861417,230560779.06639296
160,Feb,3,Movie,Tablet,Australia,79867967,225546013.00473014
161,Apr,1,Movie,Smart Tv,France,74982528,229578200.8441487
162,Dec,4,Tv Show,Mobile,South Korea,71965432,227219882.6841889
163,May,4,Series,Smart Tv,Japan,79040941,239688832.5597768
164,Mar,3,Series,Mobile,Brazil,78495299,228256787.9605014
165,Apr,3,Series,Tablet,France,78739922,238446570.2390686
166,Apr,4,Tv Show,Smart Tv,UK,76092132,224797495.28331286
167,Jan,5,Series,Smart Tv,Canada,72494318,238118317.78140572
168,Mar,2,Tv Show,Mobile,India,73643764,224687671.00223505
169,Feb,2,Movie,Smart Tv,Brazil,71373772,223082303.83573875
170,Apr,4,Series,Smart Tv,USA,77829352,223342698.4256133
171,Apr,2,Tv Show,Tablet,Japan,76647837,237098684.44656658
172,Jan,4,Series,Mobile,UK,73206465,225106025.51930144
173,Aug,2,Movie,Mobile,Canada,75109009,228931464.15371066
174,Aug,2,Series,Smart Tv,Japan,72001067,232138874.9699425
175,Nov,1,Series,Mobile,Brazil,76050133,237045876.01219565
176,Jul,4,Series,Mobile,USA,74822166,228170664.9837642
177,Jan,5,Movie,Smart Tv,Japan,73962439,239665029.42862442
178,Jun,5,Series,Smart Tv,Australia,75977689,230262205.34998333
179,Aug,3,Movie,Tablet,Japan,70257480,234501052.68646228
180,May,5,Tv Show,Mobile,Canada,75150227,234780274.61491907
181,Feb,4,Series,Mobile,Australia,74994340,232111286.83537874
182,Apr,5,Series,Tablet,South Korea,71293777,225239112.9407674
183,Nov,4,Series,Smart Tv,Brazil,78943957,234736644.0631123
184,Jul,5,Series,Tablet,Germany,71894071,223675355.87022254
185,Mar,4,Movie,Smart Tv,USA,78021724,234205931.58190948
186,Feb,2,Tv Show,Smart Tv,Brazil,74076189,235768360.56170756
187,Jan,2,Tv Show,Tablet,USA,76789147,223987028.27864423
188,Dec,3,Tv Show,Tablet,Germany,71157727,227006825.52119425
189,Apr,5,Movie,Tablet,Australia,73039762,238256292.26414657
190,Nov,5,Tv Show,Mobile,India,74154083,223319418.7137436
191,May,4,Tv Show,Smart Tv,Canada,74542725,222573631.082135
192,Aug,1,Series,Tablet,Japan,72480380,230871921.50021863
193,Aug,5,Movie,Smart Tv,USA,76099636,222497057.99342012
194,Oct,1,Movie,Smart Tv,Australia,70052474,226522052.02922636
195,May,2,Movie,Tablet,Brazil,77216132,229683833.70687538
196,Oct,3,Tv Show,Smart Tv,UK,70031731,234918599.0922049
197,May,1,Movie,Tablet,France,76909474,227811275.09921452
198,Jul,4,Series,Tablet,Japan,70923078,230917553.6396441
199,Jun,4,Movie,Tablet,Germany,79128766,237771287.9253982
200,Mar,3,Tv Show,Smart Tv,Australia,78933693,228757533.74117368
201,Nov,5,Tv Show,Mobile,Japan,74555854,224623682.0422893
202,Feb,2,Tv Show,Mobile,France,70501964,228401340.09583
203,Jun,5,Movie,Tablet,Australia,74889418,229542676.99270672
204,Jun,4,Tv Show,Mobile,Brazil,74181150,234546653.3124266
205,Oct,5,Movie,Smart Tv,India,74909933,225084633.97645012
206,Mar,3,Tv Show,Smart Tv,Japan,70936550,237570924.69305837
207,Nov,1,Series,Tablet,Brazil,74435722,221531537.05717513
208,Oct,2,Movie,Mobile,UK,70731382,225797806.25153562
209,Oct,3,Series,Smart Tv,USA,75947408,221506112.2494937
210,May,5,Series,Tablet,Australia,77096925,235066975.3002214
211,Sep,1,Series,Mobile,Canada,77010317,239363488.5486377
212,Nov,3,Movie,Tablet,Canada,75681882,227895380.31410533
213,Dec,4,Movie,Tablet,South Korea,72166880,225544791.6599735
214,Oct,1,Series,Smart Tv,France,74562309,222805342.2934124
215,Mar,2,Series,Mobile,Canada,74019259,222681753.53814858
216,Feb,5,Series,Tablet,Japan,73969543,231593720.05184662
217,Jul,5,Movie,Smart Tv,Australia,78108166,226358884.21239817
218,Oct,4,Series,Mobile,France,70337499,230916670.37874997
219,Apr,3,Series,Tablet,South Korea,72622276,226284680.09259158
220,Oct,4,Movie,Mobile,Canada,78977582,220051037.64600608
221,Jun,5,Tv Show,Mobile,UK,73038859,232925699.33623832
222,May,3,Movie,Mobile,Germany,70696509,231270449.34228233
223,Apr,3,Series,Mobile,India,78457424,231328854.48763385
224,Nov,2,Tv Show,Smart Tv,Germany,72287164,234448381.02201885
225,Apr,3,Series,Mobile,Brazil,76500657,239562110.89568284
226,Jul,3,Movie,Smart Tv,Japan,77789682,236502928.5054695
227,Feb,2,Tv Show,Smart Tv,South Korea,74399775,229105350.75673306
228,Jan,4,Tv Show,Mobile,Germany,75866077,239228624.75793687
229,Aug,2,Series,Tablet,Canada,72277972,230064682.91839316
230,Jul,3,Movie,Smart Tv,Brazil,73745615,233442499.06436715
231,May,5,Tv Show,Mobile,France,77639819,233484076.31343612
232,Aug,3,Movie,Smart Tv,South Korea,71777589,230979656.795937
233,Aug,3,Series,Smart Tv,UK,70670613,225562808.62579098
234,Mar,1,Tv Show,Smart Tv,Australia,74503835,220304392.29531148
235,Jun,5,Series,Tablet,Australia,70565849,220670646.45019788
236,Mar,1,Tv Show,Smart Tv,Australia,78945366,232578012.58892196
237,Oct,4,Movie,Smart Tv,Japan,75422601,235102348.36369216
238,Apr,3,Series,Mobile,France,71628589,239666453.3147068
239,Dec,5,Movie,Smart Tv,Japan,72244041,220478061.03614235
240,Aug,4,Series,Tablet,South Korea,79600297,233454962.86988547
241,May,4,Tv Show,Tablet,Canada,76955522,222460946.14308706
242,Sep,5,Series,Smart Tv,France,75913716,235987251.05461377
243,Aug,4,Movie,Mobile,Canada,75766357,226334621.40281722
244,Jul,1,Tv Show,Smart Tv,India,73960116,229460430.22068122
245,Feb,2,Series,Tablet,Brazil,75904146,224180571.17043778
246,Feb,4,Series,Smart Tv,France,79047342,229492708.14566627
247,Jan,4,Series,Tablet,Canada,78743305,236491142.4206016
248,Feb,4,Series,Smart Tv,Germany,70986961,221558558.37378868
249,Mar,5,Movie,Smart Tv,South Korea,79509400,222390908.8279004
250,Dec,5,Series,Mobile,South Korea,72566296,228828924.96734068
251,May,1,Series,Tablet,France,74311784,237942714.96560746
252,Oct,5,Movie,Tablet,Japan,71185534,220994820.28416374
253,Nov,5,Tv Show,Smart Tv,Brazil,75532082,238648033.71296543
254,Nov,2,Movie,Tablet,South Korea,76644843,235582003.57614473
255,Jan,3,Movie,Tablet,India,78035978,233119838.52314234
256,Apr,5,Tv Show,Mobile,India,76076071,239524832.2373539
257,May,1,Series,Tablet,Brazil,72561192,221524493.7288299
258,Jun,3,Tv Show,Smart Tv,Japan,73252297,226852308.82568684
259,Jan,5,Tv Show,Smart Tv,Japan,74402669,220103429.82858685
260,May,1,Tv Show,Mobile,France,78275016,226995406.46316674
261,Mar,3,Series,Tablet,USA,76164702,220908240.4107548
262,Oct,2,Movie,Mobile,Japan,79948118,232283068.1059652
263,Jun,3,Movie,Smart Tv,UK,77381142,238993600.5902234
264,Jul,4,Tv Show,Smart Tv,Japan,77441498,229265270.2928668
265,Nov,1,Series,Mobile,Brazil,74368010,237034757.6039804
266,Feb,4,Tv Show,Mobile,South Korea,78658218,228431587.81138095
267,Nov,3,Tv Show,Tablet,USA,72462769,223399867.29919517
268,May,2,Movie,Mobile,UK,75927539,223376810.73970065
269,Sep,5,Movie,Tablet,Australia,79358486,235144273.011708
270,Jul,3,Movie,Mobile,Canada,72148021,222374281.66583943
271,Dec,2,Movie,Smart Tv,Japan,76225528,223049135.22261947
272,Jun,2,Tv Show,Mobile,UK,77659685,223479209.92537257
273,Nov,2,Movie,Tablet,France,78030171,233843148.62284467
274,Jun,3,Series,Smart Tv,Brazil,73869393,239056240.09555328
275,Jul,3,Tv Show,Mobile,USA,76215590,238490326.81815836
276,May,5,Series,Tablet,France,76994428,238380914.88763478
277,May,4,Series,Tablet,France,75374225,236138039.8829186
278,Jan,1,Series,Smart Tv,Japan,79863731,227723629.60712615
279,Jun,2,Tv Show,Tablet,Japan,76876020,237855416.96921167
280,Aug,1,Series,Tablet,Brazil,76185557,239481010.59508476
281,Jan,2,Series,Tablet,South Korea,77278864,235076590.21557623
282,Mar,2,Movie,Smart Tv,UK,79140188,221987005.35468492
283,Oct,5,Movie,Tablet,UK,75938349,223557650.03731257
284,Aug,4,Series,Smart Tv,UK,78196854,237101275.16093105
285,Dec,5,Movie,Smart Tv,France,70819784,231291925.54513586
286,Feb,2,Movie,Tablet,Brazil,76969099,225905729.07827562
287,Sep,4,Movie,Smart Tv,Canada,72656777,230938504.72100842
288,Jul,5,Series,Tablet,Japan,70707867,231321684.72776166
289,Jul,1,Movie,Mobile,Brazil,76743804,223866926.51512283
290,Nov,5,Movie,Mobile,Australia,73683655,235813711.34053263
291,Mar,3,Tv Show,Tablet,India,70074722,225346244.6784722
292,May,2,Movie,Tablet,South Korea,70643571,234437446.73327842
293,May,2,Series,Mobile,India,77869669,225133559.14359412
294,Jul,5,Tv Show,Tablet,Japan,73870133,225066210.08573374
295,Oct,2,Movie,Mobile,Australia,74334353,229163745.7419581
296,Jun,1,Tv Show,Mobile,Brazil,73302453,235128103.97024632
297,Feb,5,Tv Show,Mobile,South Korea,71846921,235680893.95351425
298,Feb,4,Series,Mobile,Australia,79021791,223962361.14543065
299,Jan,1,Tv Show,Smart Tv,Canada,72579533,222225352.41561246
300,Feb,1,Movie,Smart Tv,France,79068445,222242996.54562014
301,Nov,1,Series,Smart Tv,USA,79455124,233495266.56277388
302,Apr,4,Series,Mobile,USA,75972989,222972057.5088234
303,Mar,5,Tv Show,Smart Tv,South Korea,75873914,226116143.84483415
304,Jan,1,Tv Show,Mobile,USA,70897532,220317661.74330574
305,Aug,5,Series,Mobile,Canada,71890845,232994526.18327248
306,Sep,1,Movie,Mobile,Germany,71970541,227339907.18722224
307,Apr,4,Movie,Tablet,USA,76084701,229459020.6063763
308,Feb,4,Movie,Smart Tv,UK,72507087,239984753.51531124
309,Aug,3,Series,Tablet,Japan,76229079,233852312.25613832
310,Nov,5,Series,Tablet,Australia,74270944,237780479.05170682
311,Nov,2,Tv Show,Smart Tv,France,77616201,232346718.15834007
312,Nov,4,Movie,Mobile,Germany,77863273,223524765.71772173
313,Jan,1,Movie,Mobile,UK,79251271,232541316.1036369
314,Jan,2,Series,Mobile,UK,72720584,220256448.87424943
315,Jan,1,Series,Mobile,France,75231706,238365608.79971164
316,Sep,4,Series,Tablet,Canada,75163555,226539820.02402684
317,Dec,3,Movie,Tablet,USA,75876664,231865166.5993683
318,Jul,2,Tv Show,Tablet,India,70132276,230313582.80759037
319,Jun,4,Series,Tablet,USA,73268756,232832946.4389907
320,Jul,1,Series,Mobile,USA,77541788,233361862.62102273
321,Jul,4,Series,Smart Tv,UK,71178060,221417387.44909385
322,Feb,5,Tv Show,Mobile,India,70349514,230797233.56557742
323,Oct,1,Series,Mobile,South Korea,74569674,221534217.47826314
324,Dec,4,Series,Smart Tv,Brazil,77072626,236660727.1245233
325,Sep,2,Series,Smart Tv,France,73460159,231904523.39136204
326,May,2,Series,Smart Tv,India,78206334,231342377.06934422
327,Nov,5,Tv Show,Mobile,USA,74113597,238873585.09694916
328,Nov,3,Tv Show,Smart Tv,Germany,79244667,224380132.52053544
329,Feb,3,Movie,Smart Tv,UK,73592619,236427803.20128167
330,Jan,5,Tv Show,Mobile,South Korea,73903616,227348038.18237653
331,Oct,5,Series,Mobile,Germany,73068776,226936601.85951743
332,Jan,1,Movie,Mobile,Australia,73773158,226413805.01920083
333,Aug,4,Tv Show,Tablet,France,74768742,226453387.05889085
334,Apr,5,Movie,Smart Tv,France,79884712,231514789.81864083
335,Dec,3,Series,Smart Tv,Germany,77717379,234613613.8043506
336,Jul,5,Series,Mobile,South Korea,70873658,236155026.40584028
337,Apr,3,Tv Show,Tablet,Brazil,78640555,223610980.7077862
338,Oct,5,Tv Show,Smart Tv,South Korea,77445789,231921903.2999258
339,Nov,5,Movie,Smart Tv,Germany,77049548,227760177.71527478
340,Nov,5,Tv Show,Mobile,Japan,74973402,238563693.66431257
341,Aug,3,Tv Show,Mobile,Brazil,78403461,227001530.10894263
342,Mar,4,Movie,Smart Tv,Australia,74295635,220559473.2795763
343,Jul,5,Movie,Tablet,South Korea,71327046,224899586.86691204
344,May,4,Movie,Mobile,South Korea,72197465,221961000.0395707
345,Dec,4,Tv Show,Smart Tv,South Korea,72627259,233236805.06757525
346,Jan,2,Movie,Mobile,Canada,71481109,228367284.96271297
347,Aug,3,Movie,Smart Tv,Canada,79561232,230126500.67718354
348,Dec,3,Movie,Mobile,Japan,78466834,223235111.42309058
349,Nov,2,Movie,Smart Tv,South Korea,78559713,223363735.51652133
350,May,5,Tv Show,Smart Tv,Germany,71600954,220275800.35121232
351,Jun,3,Series,Mobile,UK,73439433,228314936.96799228
352,Mar,2,Series,Mobile,Australia,77301094,234445236.53009465
353,Sep,3,Tv Show,Smart Tv,Germany,79015632,227787144.9374891
354,Dec,1,Tv Show,Tablet,Japan,76162009,223669643.943834
355,Jun,1,Movie,Tablet,Australia,76626919,223141665.1807042
356,May,1,Movie,Tablet,Japan,71245406,220114444.54866233
357,Apr,1,Movie,Smart Tv,Brazil,77527353,224610298.62461933
358,Jan,5,Series,Mobile,India,75251332,227736807.01875484
359,Jun,3,Movie,Mobile,Japan,76419386,221149507.69562015
360,Sep,2,Movie,Mobile,Brazil,79282087,238449578.11040133
361,Dec,2,Movie,Mobile,UK,79898335,231698207.23904136
362,Mar,5,Tv Show,Mobile,UK,76381899,225248423.45790893
363,Nov,2,Series,Smart Tv,Canada,74604901,225805014.0285076
364,Aug,5,Series,Smart Tv,Canada,70240313,223170535.9519362
365,Dec,1,Movie,Tablet,Australia,78869268,233834911.43368357
366,Oct,5,Tv Show,Mobile,Brazil,76100436,235661739.3808855
367,Mar,1,Tv Show,Mobile,Canada,72943254,238535162.1211653
368,Aug,1,Movie,Tablet,South Korea,73713920,232995729.55329475
369,Jul,3,Tv Show,Mobile,USA,75518606,224210719.89612958
370,May,1,Movie,Smart Tv,South Korea,74046369,225169538.65352967
371,Jun,2,Movie,Smart Tv,France,73902142,232533190.27437875
372,Feb,1,Series,Mobile,UK,71640938,232392161.25322786
373,Oct,5,Tv Show,Smart Tv,Brazil,76430738,233798282.9769098
374,May,5,Tv Show,Smart Tv,Australia,73937568,234804018.12428734
375,Dec,2,Movie,Smart Tv,Japan,77044822,237325299.05355677
376,Dec,4,Series,Mobile,Australia,78573507,220046358.5892235
377,Feb,2,Tv Show,Smart Tv,Brazil,74480666,236063521.6284253
378,Apr,4,Tv Show,Smart Tv,France,77516290,237080594.01833236
379,Apr,4,Series,Smart Tv,Japan,74594494,226688912.55957508
380,Nov,2,Series,Tablet,USA,74264820,239078937.5391986
381,Oct,1,Movie,Mobile,Germany,74190239,220181399.14570117
382,Sep,1,Movie,Mobile,Germany,73927423,238579979.1102199
383,Oct,5,Series,Smart Tv,Brazil,77477092,220665348.8791625
384,Oct,1,Series,Mobile,Brazil,73434954,230390896.56093952
385,Oct,2,Movie,Mobile,USA,78748691,238006810.4922609
386,Aug,1,Tv Show,Tablet,France,76216989,220553617.21397918
387,Feb,2,Tv Show,Mobile,France,72921442,238695548.87595025
388,Sep,1,Movie,Smart Tv,UK,73373091,230146537.25060925
389,Aug,1,Series,Tablet,India,73518105,223364751.7924961
390,Apr,1,Series,Mobile,Japan,75858684,227319566.67794406
391,Apr,5,Tv Show,Smart Tv,Germany,74839560,230567265.28387752
392,Apr,1,Tv Show,Mobile,Japan,76820137,229336676.01308137
393,Apr,2,Series,Mobile,Germany,73038234,232146459.19682372
394,Dec,1,Series,Smart Tv,India,73877095,227237077.86535206
395,Apr,3,Tv Show,Smart Tv,Canada,77873759,232428316.99729043
396,Sep,2,Movie,Mobile,France,74206884,231441343.21255803
397,Sep,4,Movie,Smart Tv,Australia,77765393,223028947.72585607
398,Feb,2,Tv Show,Mobile,India,76711815,230651000.53261292
399,Nov,4,Series,Smart Tv,USA,70807343,238316080.24127796
400,Feb,5,Tv Show,Tablet,USA,70881421,221919211.07459363
401,May,3,Tv Show,Tablet,Canada,76327978,231919759.36888972
402,Dec,2,Movie,Tablet,Brazil,73259155,228168311.90667525
403,Jan,5,Movie,Smart Tv,Canada,74029224,238301632.057146
404,Mar,1,Movie,Smart Tv,Japan,79930571,239562227.86055788
405,Dec,1,Tv Show,Tablet,Canada,73882671,226866263.24177474
406,Aug,2,Movie,Mobile,USA,76034087,223163452.7068753
407,Dec,5,Movie,Tablet,USA,70433990,224881589.82458794
408,Feb,2,Movie,Mobile,USA,75210936,236605208.24834856
409,Apr,5,Series,Mobile,Canada,74737237,239844867.10271376
410,Mar,4,Movie,Mobile,France,75470681,225548435.4177422
411,Feb,1,Series,Smart Tv,Japan,78894275,239878159.84657088
412,Nov,1,Series,Tablet,India,79968335,227461395.01032457
413,Jan,1,Tv Show,Smart Tv,Japan,72862939,227731446.96558356
414,Nov,4,Series,Smart Tv,South Korea,77505725,226211879.96182144
415,Oct,3,Series,Mobile,France,74092093,236910031.98514587
